,sold_price,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,garage,fireplaces,sqrt_ft,kitchen_features,floor_covering,HOA,zipcode
4263,580000.0,-110.779301,32.299951,0.48,6153.51,1996,3,3.0,3.0,1.0,2934.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: stainless, Oven: Double",Wood,99.66,85749
4264,545000.0,-110.926412,32.318702,0.27,6024.0,2003,4,3.0,3.0,2.0,2656.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island","Carpet, Ceramic Tile",193.0,85718
4265,577300.0,-110.737164,32.252868,0.54,5011.0,2002,4,4.0,3.0,1.0,3014.0,"Dishwasher, Double Sink, Garbage Disposal, Pantry: Closet, Appliance Color: Stainless, Microwave: built-in, Oven: stainless","Carpet, Ceramic Tile",12.0,85749
4266,585000.0,-110.714814,32.248171,3.72,6287.02,1993,3,4.0,3.0,2.0,2844.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: marble, Microwave: stainless, Oven: stainless",Mexican Tile,18.75,85749
4267,550000.0,-110.997915,32.392815,0.95,4518.27,1985,3,4.0,5.0,3.0,2798.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Corian, Microwave: Samsung, Oven: Samsung","Carpet, Ceramic Tile",-1.0,85737
4268,575000.0,-110.723788,32.245243,0.81,5473.0,1994,4,3.0,3.0,2.0,3500.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Closet, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: granite, Microwave: built -in, Oven: built-in","Carpet, Mexican Tile",-1.0,85749
4269,577500.0,-110.88936,32.281011,1.01,4993.29,1997,4,3.0,3.0,1.0,2681.0,"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Cabinet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: granite, Microwave: built in","Carpet, Natural Stone",5.0,85718
4270,575000.0,-110.981616,32.332752,0.8,6017.69,2003,4,3.0,3.0,1.0,2600.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Marble, Oven: Convection/Steam","Concrete, Wood, Other: Marble",25.0,85704
4271,595000.0,-111.136592,32.35877,3.34,5405.67,2002,4,3.0,3.0,2.0,3003.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Lazy Susan, Pantry: Cabinet, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: Granite, Microwave: Built In, Oven: Double","Ceramic Tile, Other: Engineered Wood",-1.0,85743
4272,572800.0,-110.743887,32.247898,0.85,4284.0,1979,4,3.0,3.0,3.0,3250.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Closet, Appliance Color: Stainless, Countertops: Granite, Microwave: Yes, Oven: Yes","Ceramic Tile, Wood",-1.0,85749
4274,585000.0,-110.943695,32.460752,0.19,4819.84,1993,3,3.0,2.0,1.0,2695.0,"Dishwasher, Garbage Disposal, Gas Range, Lazy Susan, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Microwave: -, Oven: -",Wood,155.0,85755
4276,560000.0,-110.636655,31.656466,13.62,7069.1,1996,2,3.0,3.0,1.0,2520.0,"Dishwasher, Gas Range, Island, Refrigerator, Appliance Color: White, Countertops: Wood",Mexican Tile,-1.0,85637
4277,580000.0,-111.082939,32.387653,3.3,5821.84,2004,5,3.0,3.0,1.0,3180.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: SS, Oven: SS","Ceramic Tile, Laminate",-1.0,85742
4278,590000.0,-111.03161,32.446174,4.55,5325.0,2001,3,2.0,2.0,2.0,2448.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Natural Stone, Wood",0.0,85742
4279,561000.0,-110.852407,32.311971,1.06,5106.0,1989,4,3.0,3.0,2.0,2828.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven","Carpet, Ceramic Tile, Concrete, Wood",42.0,85750
4280,584900.0,-110.985427,32.436369,0.66,6454.69,2002,4,4.0,3.0,2.0,3509.0,"Dishwasher, Microwave, Oven",Concrete,30.0,85755
4281,560000.0,-110.83059,32.318489,0.9,6137.22,1987,4,3.0,2.0,3.0,3108.0,"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Natural Stone",80.0,85750
4282,571500.0,-110.909506,32.33191,0.7,4141.0,1971,5,4.0,3.0,2.0,3869.0,"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Natural Stone, Wood",0.0,85718
4283,577400.0,-110.955923,32.321655,0.84,5079.93,1986,4,3.0,2.0,2.0,3009.0,"Compactor, Dishwasher, Microwave: ., Oven: .","Carpet, Ceramic Tile",5.0,85718
4284,565000.0,-110.98379,32.396079,1.66,5592.21,2004,4,3.0,5.0,2.0,2930.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Oven: Double Ovens","Carpet, Other: Travertine",-1.0,85737
4285,550000.0,-110.8608,32.550486,0.34,4162.08,2005,3,4.0,3.0,1.0,2958.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Ceramic Tile, Wood",165.0,85739
4287,540000.0,-110.67797,32.096663,2.84,5364.23,2006,4,3.0,3.0,2.0,3243.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",65.0,85641
4288,574528.0,-111.049992,32.426869,0.75,759.71,2016,4,4.0,4.0,0.0,3595.0,"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Ceramic Tile",60.0,85658
4289,550000.0,-110.930191,32.330599,1.08,5074.0,1991,4,3.0,2.0,2.0,3011.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven","Carpet, Mexican Tile",0.0,85718
4290,579000.0,-110.840128,32.283029,1.61,4298.0,1994,3,2.0,2.0,1.0,2348.0,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Microwave, Oven: Oven",Ceramic Tile,-1.0,85750
4291,570000.0,-110.897461,32.320876,0.45,5661.44,2001,4,3.0,3.0,1.0,3052.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",80.0,85718
